long,str,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,
1,"знаходитися поруч з ковадлом",,,,,,,,"знаходитися поруч з ковадлом",,,,,,,,0xFF01FE,
2,"знаходитися поруч з ткацьким станком",,,,,,,,"знаходитися поруч з ткацьким станком",,,,,,,,0xFF01FE,
3,"знаходитися поруч з горном",,,,,,,,"знаходитися поруч з горном",,,,,,,,0xFF01FE,
4,"знаходитися поруч з вогнищем для приготування їжі",,,,,,,,"знаходитися поруч з вогнищем для приготування їжі",,,,,,,,0xFF01FE,
5,"знаходитися поруч з кристаллами Мізраєль",,,,,,,,"знаходитися поруч з кристаллами Мізраєль",,,,,,,,0xFF01FE,
6,"знаходитися поруч з Колодцем Зимового Копита",,,,,,,,"знаходитися поруч з Колодцем Зимового Копита",,,,,,,,0xFF01FE,
7,"знаходитися поруч з Колодцем Громового Рогу",,,,,,,,"знаходитися поруч з Колодцем Громового Рогу",,,,,,,,0xFF01FE,
8,"знаходитися поруч з Колодцем Буйногривих",,,,,,,,"знаходитися поруч з Колодцем Буйногривих",,,,,,,,0xFF01FE,
9,"знаходитися поруч з вогнищем племені",,,,,,,,"знаходитися поруч з вогнищем племені",,,,,,,,0xFF01FE,
10,"знаходитися в Механічній майстерні",,,,,,,,"знаходитися в Механічній майстерні",,,,,,,,0xFF01FE,
11,"знаходитися біля Місячного колодязя Тінистої долини",,,,,,,,"знаходитися біля Місячного колодязя Тінистої долини",,,,,,,,0xFF01FE,
12,"знаходитися біля місячного колодязя Села Зоряного Вітру",,,,,,,,"знаходитися біля місячного колодязя Села Зоряного Вітру",,,,,,,,0xFF01FE,
13,"знаходитися поруч з Місячним колодцем Арлітрієнських ставків",,,,,,,,"знаходитися поруч з Місячним колодцем Арлітрієнських ставків",,,,,,,,0xFF01FE,
14,"знаходитися біля Місячного колодязя Поляни Оракула",,,,,,,,"знаходитися біля Місячного колодязя Поляни Оракула",,,,,,,,0xFF01FE,
15,"знаходитися в аеропорту Торгової Компанії",,,,,,,,"знаходитися в аеропорту Торгової Компанії",,,,,,,,0xFF01FE,
16,"знаходитися поруч з фургоном Торгової Компанії (Синій)",,,,,,,,"знаходитися поруч з фургоном Торгової Компанії (Синій)",,,,,,,,0xFF01FE,
17,"знаходитися поруч з фургоном Торгової Компанії (Червоний)",,,,,,,,"знаходитися поруч з фургоном Торгової Компанії (Червоний)",,,,,,,,0xFF01FE,
18,"знаходитися поруч з вибухівкою НГ-5 (красная)",,,,,,,,"знаходитися поруч з вибухівкою НГ-5 (красная)",,,,,,,,0xFF01FE,
19,"знаходитися поруч з вибухівкою НГ-5 (синя)",,,,,,,,"знаходитися поруч з вибухівкою НГ-5 (синя)",,,,,,,,0xFF01FE,
20,"знаходитися поруч з Полум'ям Узеля",,,,,,,,"знаходитися поруч з Полум'ям Узеля",,,,,,,,0xFF01FE,
21,"знаходитися біля Місячного колодязя Ясеневого лісу",,,,,,,,"знаходитися біля Місячного колодязя Ясеневого лісу",,,,,,,,0xFF01FE,
22,"знаходитися біля вівтаря, посіченого морем",,,,,,,,"знаходитися біля вівтаря, посіченого морем",,,,,,,,0xFF01FE,
